,Total Votes,Republican Electoral Votes,Republican Votes,Republican Percent,Democrats Electoral Votes,Democrats Votes,Democrats Percent,Independents Electoral Votes,Independents Votes,Independents Percent
1,"227,638,641",312,"113,216,240",49.7351,226,"109,911,652",48.2834,0,"4,510,749",1.9815
2,"225,246,390",624,"112,292,141",49.8530,452,"108,507,186",48.1727,0,"4,447,063",1.9743
3,"227,087,342",936,"113,120,915",49.8138,678,"109,479,080",48.2101,0,"4,487,347",1.9760
4,"225,788,603","1,248","112,653,557",49.8934,904,"108,673,733",48.1307,0,"4,461,313",1.9759
5,"227,445,846","1,560","113,172,312",49.7579,"1,130","109,769,269",48.2617,0,"4,504,265",1.9804
6,"223,858,338","1,872","111,442,349",49.7825,"1,356","107,972,095",48.2323,0,"4,443,894",1.9851
7,"224,914,529","2,184","111,997,700",49.7957,"1,582","108,466,103",48.2255,0,"4,450,726",1.9789
8,"225,187,082","2,496","112,108,075",49.7844,"1,808","108,607,285",48.2298,0,"4,471,722",1.9858
9,"225,063,587","2,808","112,067,422",49.7937,"2,034","108,537,602",48.2253,0,"4,458,563",1.9810
10,"224,876,523","3,120","112,029,863",49.8184,"2,260","108,408,520",48.2080,0,"4,438,140",1.9736
11,"226,161,362","3,432","112,913,981",49.9263,"2,486","108,797,274",48.1060,0,"4,450,107",1.9677
12,"227,343,747","3,744","113,214,504",49.7988,"2,712","109,647,045",48.2296,0,"4,482,198",1.9716
13,"222,996,110","4,056","111,293,000",49.9080,"2,938","107,304,755",48.1196,0,"4,398,355",1.9724
14,"228,060,029","4,368","113,837,617",49.9156,"3,164","109,726,191",48.1129,0,"4,496,221",1.9715
15,"223,980,969","4,680","111,589,711",49.8211,"3,390","107,970,553",48.2052,0,"4,420,705",1.9737
16,"225,083,601","4,992","112,020,754",49.7685,"3,616","108,611,295",48.2538,0,"4,451,552",1.9777
17,"225,989,581","5,304","112,573,764",49.8137,"3,842","108,955,976",48.2128,0,"4,459,841",1.9735
18,"224,161,721","5,616","111,937,183",49.9359,"4,068","107,803,297",48.0918,0,"4,421,241",1.9723
19,"224,788,826","5,928","112,178,757",49.9041,"4,294","108,193,478",48.1312,0,"4,416,591",1.9648
20,"223,759,188","6,240","111,519,814",49.8392,"4,520","107,823,863",48.1875,0,"4,415,511",1.9733
21,"223,160,264","6,552","111,400,318",49.9194,"4,746","107,382,379",48.1190,0,"4,377,567",1.9616
22,"223,701,523","6,864","111,589,186",49.8831,"4,972","107,707,352",48.1478,0,"4,404,985",1.9691
23,"227,155,512","7,176","113,232,888",49.8482,"5,198","109,435,681",48.1765,0,"4,486,943",1.9753
24,"225,884,310","7,488","112,449,759",49.7820,"5,424","108,968,227",48.2407,0,"4,466,324",1.9773
25,"226,060,043","7,800","112,857,830",49.9238,"5,650","108,751,336",48.1073,0,"4,450,877",1.9689
26,"223,097,351","8,112","111,199,359",49.8434,"5,876","107,490,252",48.1809,0,"4,407,740",1.9757
27,"227,840,416","8,424","113,479,564",49.8066,"6,102","109,856,035",48.2162,0,"4,504,817",1.9772
28,"225,588,270","8,736","112,520,749",49.8788,"6,328","108,618,640",48.1491,0,"4,448,881",1.9721
29,"225,480,786","9,048","112,638,523",49.9548,"6,554","108,415,660",48.0820,0,"4,426,603",1.9632
30,"226,657,670","9,360","113,069,205",49.8855,"6,780","109,118,410",48.1424,0,"4,470,055",1.9722
31,"225,475,933","9,672","112,219,472",49.7700,"7,006","108,785,573",48.2471,0,"4,470,888",1.9829
32,"223,881,334","9,984","111,605,090",49.8501,"7,232","107,864,296",48.1792,0,"4,411,948",1.9707
33,"225,290,988","10,296","112,358,261",49.8725,"7,458","108,488,104",48.1547,0,"4,444,623",1.9728
34,"222,983,685","10,608","111,198,628",49.8685,"7,684","107,382,635",48.1572,0,"4,402,422",1.9743
35,"226,384,034","10,920","112,786,526",49.8209,"7,910","109,135,597",48.2082,0,"4,461,911",1.9709
36,"224,878,411","11,232","111,960,960",49.7873,"8,136","108,451,642",48.2268,0,"4,465,809",1.9859
37,"225,373,843","11,544","112,669,514",49.9923,"8,362","108,283,366",48.0461,0,"4,420,963",1.9616
38,"226,743,379","11,856","112,996,548",49.8346,"8,588","109,264,270",48.1885,0,"4,482,561",1.9769
39,"225,932,357","12,168","112,456,075",49.7742,"8,814","109,013,400",48.2505,0,"4,462,882",1.9753
40,"224,256,558","12,480","111,990,637",49.9386,"9,040","107,848,682",48.0917,0,"4,417,239",1.9697
41,"225,134,358","12,792","112,320,827",49.8906,"9,266","108,379,715",48.1400,0,"4,433,816",1.9694
42,"224,665,469","13,104","112,021,812",49.8616,"9,492","108,219,489",48.1692,0,"4,424,168",1.9692
43,"227,123,109","13,416","113,247,840",49.8619,"9,718","109,383,602",48.1605,0,"4,491,667",1.9776
44,"225,517,503","13,728","112,110,737",49.7127,"9,944","108,925,256",48.3001,0,"4,481,510",1.9872
45,"225,105,136","14,040","112,347,641",49.9090,"10,170","108,338,318",48.1279,0,"4,419,177",1.9632
46,"227,841,709","14,352","113,679,949",49.8943,"10,396","109,688,279",48.1423,0,"4,473,481",1.9634
47,"225,623,145","14,664","112,515,111",49.8686,"10,622","108,650,550",48.1558,0,"4,457,484",1.9756
48,"224,634,029","14,976","112,000,618",49.8592,"10,848","108,203,852",48.1689,0,"4,429,559",1.9719
49,"225,858,822","15,288","112,744,409",49.9181,"11,074","108,655,909",48.1079,0,"4,458,504",1.9740
50,"222,732,563","15,600","110,977,632",49.8255,"11,300","107,364,347",48.2033,0,"4,390,584",1.9712
51,"224,885,494","15,912","112,251,434",49.9149,"11,526","108,202,413",48.1144,0,"4,431,647",1.9706
52,"225,912,645","16,224","112,751,211",49.9092,"11,752","108,709,111",48.1200,0,"4,452,323",1.9708
53,"227,101,034","16,536","113,202,186",49.8466,"11,978","109,414,768",48.1789,0,"4,484,080",1.9745
54,"225,526,689","16,848","112,295,699",49.7926,"12,204","108,759,888",48.2248,0,"4,471,102",1.9825
55,"224,260,285","17,160","111,768,960",49.8389,"12,430","108,049,898",48.1806,0,"4,441,427",1.9805
56,"224,530,154","17,472","112,032,977",49.8966,"12,656","108,069,332",48.1313,0,"4,427,845",1.9720
57,"226,135,646","17,784","112,593,799",49.7904,"12,882","109,063,248",48.2291,0,"4,478,599",1.9805
58,"227,073,396","18,096","113,269,632",49.8824,"13,108","109,321,516",48.1437,0,"4,482,248",1.9739
59,"227,183,056","18,408","112,784,709",49.6449,"13,334","109,874,458",48.3638,0,"4,523,889",1.9913
60,"225,577,550","18,720","112,461,487",49.8549,"13,560","108,655,175",48.1675,0,"4,460,888",1.9775
61,"228,200,179","19,032","113,634,522",49.7960,"13,786","110,032,637",48.2176,0,"4,533,020",1.9864
62,"228,717,753","19,344","113,990,689",49.8390,"14,012","110,212,593",48.1872,0,"4,514,471",1.9738
63,"224,445,544","19,656","111,803,509",49.8132,"14,238","108,198,773",48.2071,0,"4,443,262",1.9797
64,"224,349,399","19,968","111,994,499",49.9197,"14,464","107,939,124",48.1121,0,"4,415,776",1.9683
65,"225,062,647","20,280","112,252,783",49.8762,"14,690","108,376,848",48.1541,0,"4,433,016",1.9697
66,"227,598,627","20,592","113,558,391",49.8941,"14,916","109,555,642",48.1355,0,"4,484,594",1.9704
67,"225,003,190","20,904","112,166,658",49.8511,"15,142","108,398,184",48.1763,0,"4,438,348",1.9726
68,"225,238,133","21,216","112,304,685",49.8604,"15,368","108,485,193",48.1647,0,"4,448,255",1.9749
69,"225,851,863","21,528","112,396,448",49.7656,"15,594","108,979,875",48.2528,0,"4,475,540",1.9816
70,"223,970,211","21,840","111,705,339",49.8751,"15,820","107,845,397",48.1517,0,"4,419,475",1.9732
71,"225,300,061","22,152","112,288,493",49.8395,"16,046","108,580,688",48.1938,0,"4,430,880",1.9667
